year,prefecture,production_quantity_kl
2013,徳島,427.0
2013,愛媛,1608.0
2013,愛知,14415.0
2013,新潟,37732.0
2013,東京,11105.0
2013,栃木,7057.0
2013,滋賀,3545.0
2013,熊本,1027.0
2013,石川,4448.0
2013,神奈川,695.0
2013,福井,2504.0
2013,福岡,3978.0
2013,福島,11472.0
2013,秋田,15142.0
2013,群馬,2628.0
2013,茨城,3742.0
2013,長崎,933.0
2013,長野,7810.0
2013,青森,3567.0
2013,静岡,3441.0
2013,香川,1138.0
2013,高知,4560.0
2013,鳥取,609.0
2014,三重,2013.0
2014,京都,87907.0
2014,佐賀,2230.0
2014,兵庫,113765.0
2014,北海道,4132.0
2014,千葉,2347.0
2014,和歌山,2334.0
2014,埼玉,20403.0
2014,大分,2954.0
2014,大阪,787.0
2014,奈良,3416.0
2014,宮城,6951.0
2014,富山,4802.0
2014,山口,3673.0
2014,山形,8695.0
2014,山梨,776.0
2014,岐阜,3042.0
2014,岡山,2426.0
2014,岩手,3252.0
2014,島根,1776.0
2014,広島,9632.0
2014,徳島,469.0
2014,愛媛,1875.0
2014,愛知,14368.0
2014,新潟,36868.0
2014,東京,11801.0
2014,栃木,7246.0
2014,滋賀,3516.0
2014,熊本,1076.0
2014,石川,6078.0
2014,神奈川,800.0
2014,福井,2747.0
2014,福岡,4515.0
2014,福島,12420.0
2014,秋田,17148.0
2014,群馬,2592.0
2014,茨城,3575.0
2014,長崎,868.0
2014,長野,7941.0
2014,青森,3514.0
2014,静岡,3804.0
2014,香川,1178.0
2014,高知,4930.0
2014,鳥取,679.0
2015,三重,1865.0
2015,京都,86685.0
2015,佐賀,2583.0
2015,兵庫,113487.0
2015,北海道,3102.0
2015,千葉,10869.0
2015,和歌山,2474.0
2015,埼玉,18142.0
2015,大分,3354.0
2015,大阪,807.0
2015,奈良,3365.0
2015,宮城,6978.0
2015,富山,5114.0
2015,山口,4964.0
2015,山形,8460.0
2015,山梨,836.0
2015,岐阜,3178.0
2015,岡山,2328.0
2015,岩手,3488.0
2015,島根,1776.0
2015,広島,9266.0
2015,徳島,419.0
2015,愛媛,1730.0
2015,愛知,14015.0
2015,新潟,35835.0
2015,東京,2473.0
2015,栃木,6928.0
2015,滋賀,3592.0
2015,熊本,1075.0
2015,石川,5926.0
2015,神奈川,748.0
2015,福井,2758.0
2015,福岡,4003.0
2015,福島,11079.0
2015,秋田,17101.0
2015,群馬,2783.0
2015,茨城,2897.0
2015,長崎,899.0
2015,長野,7414.0
2015,青森,3973.0
2015,静岡,3899.0
2015,香川,1053.0
2015,高知,4302.0
2015,鳥取,734.0
2016,三重,1823.0
2016,京都,85160.0
2016,佐賀,2517.0
2016,兵庫,106428.0
2016,北海道,3459.0
2016,千葉,10195.0
2016,和歌山,2436.0
2016,埼玉,17642.0
2016,大分,2580.0
2016,大阪,818.0
2016,奈良,3241.0
2016,宮城,5561.0
2016,富山,5048.0
2016,山口,6211.0
2016,山形,7279.0
2016,山梨,807.0
2016,岐阜,3200.0
2016,岡山,2730.0
2016,岩手,3618.0
2016,島根,1857.0
2016,広島,8215.0
2016,徳島,369.0
2016,愛媛,1496.0
2016,愛知,13468.0
2016,新潟,36049.0
2016,東京,2236.0
2016,栃木,6891.0
2016,滋賀,3235.0
2016,熊本,952.0
2016,石川,6086.0
2016,神奈川,658.0
2016,福井,2620.0
2016,福岡,3608.0
2016,福島,10699.0
2016,秋田,15708.0
2016,群馬,2473.0
2016,茨城,3272.0
2016,長崎,731.0
2016,長野,7482.0
2016,青森,3450.0
2016,静岡,3800.0
2016,香川,884.0
2016,高知,4718.0
2016,鳥取,854.0
2017,三重,1958.0
2017,京都,84706.0
2017,佐賀,2414.0
2017,兵庫,100599.0
2017,北海道,3595.0
2017,千葉,10567.0
2017,和歌山,1947.0
2017,埼玉,15798.0
2017,大分,2265.0
2017,大阪,795.0
2017,奈良,2972.0
2017,宮城,6706.0
2017,富山,4380.0
2017,山口,7074.0
2017,山形,7469.0
2017,山梨,816.0
2017,岐阜,2916.0
2017,岡山,2008.0
2017,岩手,3228.0
2017,島根,1803.0
