year,prefecture,population_total_k,age_0_14_k,age_15_plus_k
1977,茨城,2428.4,,
1977,長崎,1579.6,,
1977,長野,2044.4,,
1977,青森,1491.0,,
1977,静岡,3364.2,,
1977,香川,976.6,,
1977,高知,817.2,,
1977,鳥取,590.2,,
1977,鹿児島,1748.4,,
1978,三重,1662.6,,
1978,京都,2486.2,,
1978,佐賀,854.8,,
1978,兵庫,5083.8,,
1978,北海道,5480.8,,
1978,千葉,4500.6,,
1978,和歌山,1081.0,,
1978,埼玉,5180.4,,
1978,大分,1213.4,,
1978,大阪,8395.4,,
1978,奈良,1156.2,,
1978,宮城,2031.2,,
1978,宮崎,1125.2,,
1978,富山,1090.2,,
1978,山口,1574.2,,
1978,山形,1239.2,,
1978,山梨,795.6,,
1978,岐阜,1923.2,,
1978,岡山,1848.2,,
1978,岩手,1407.6,,
1978,島根,778.6,,
1978,広島,2701.8,,
1978,徳島,817.0,,
1978,愛媛,1490.2,,
1978,愛知,6102.8,,
1978,新潟,2427.4,,
1978,東京,11640.4,,
1978,栃木,1754.4,,
1978,沖縄,1081.4,,
1978,滋賀,1042.4,,
1978,熊本,1760.0,,
1978,石川,1099.4,,
1978,神奈川,6713.6,,
1978,福井,786.0,,
1978,福岡,4449.0,,
1978,福島,2009.4,,
1978,秋田,1247.0,,
1978,群馬,1811.8,,
1978,茨城,2471.6,,
1978,長崎,1583.4,,
1978,長野,2057.6,,
1978,青森,1502.0,,
1978,静岡,3391.8,,
1978,香川,984.4,,
1978,高知,821.8,,
1978,鳥取,594.8,,
1978,鹿児島,1760.6,,
1979,三重,1674.8,,
1979,京都,2506.6,,
1979,佐賀,860.4,,
1979,兵庫,5114.4,,
1979,北海道,5528.4,,
1979,千葉,4617.8,,
1979,和歌山,1084.0,,
1979,埼玉,5300.2,,
1979,大分,1221.2,,
1979,大阪,8434.2,,
1979,奈良,1182.6,,
1979,宮城,2056.6,,
1979,宮崎,1138.6,,
1979,富山,1096.6,,
1979,山口,1580.6,,
1979,山形,1245.6,,
1979,山梨,799.8,,
1979,岐阜,1941.6,,
1979,岡山,1859.6,,
1979,岩手,1414.8,,
1979,島根,781.8,,
1979,広島,2720.4,,
1979,徳島,821.0,,
1979,愛媛,1498.6,,
1979,愛知,6162.4,,
1979,新潟,2439.2,,
1979,東京,11629.2,,
1979,栃木,1773.2,,
1979,沖縄,1094.2,,
1979,滋賀,1061.2,,
1979,熊本,1775.0,,
1979,石川,1109.2,,
1979,神奈川,6818.8,,
1979,福井,790.0,,
1979,福岡,4501.0,,
1979,福島,2022.2,,
1979,秋田,1252.0,,
1979,群馬,1830.4,,
1979,茨城,2514.8,,
1979,長崎,1587.2,,
1979,長野,2070.8,,
1979,青森,1513.0,,
1979,静岡,3419.4,,
1979,香川,992.2,,
1979,高知,826.4,,
1979,鳥取,599.4,,
1979,鹿児島,1772.8,,
1980,三重,1687.0,,
1980,京都,2527.0,,
1980,佐賀,866.0,,
1980,兵庫,5145.0,,
1980,北海道,5576.0,,
1980,千葉,4735.0,,
1980,和歌山,1087.0,,
1980,埼玉,5420.0,,
1980,大分,1229.0,,
1980,大阪,8473.0,,
1980,奈良,1209.0,,
1980,宮城,2082.0,,
1980,宮崎,1152.0,,
1980,富山,1103.0,,
1980,山口,1587.0,,
1980,山形,1252.0,,
1980,山梨,804.0,,
1980,岐阜,1960.0,,
1980,岡山,1871.0,,
1980,岩手,1422.0,,
1980,島根,785.0,,
1980,広島,2739.0,,
1980,徳島,825.0,,
1980,愛媛,1507.0,,
1980,愛知,6222.0,,
1980,新潟,2451.0,,
1980,東京,11618.0,,
1980,栃木,1792.0,,
1980,沖縄,1107.0,,
1980,滋賀,1080.0,,
1980,熊本,1790.0,,
1980,石川,1119.0,,
1980,神奈川,6924.0,,
1980,福井,794.0,,
1980,福岡,4553.0,,
1980,福島,2035.0,,
1980,秋田,1257.0,,
1980,群馬,1849.0,,
1980,茨城,2558.0,,
1980,長崎,1591.0,,
1980,長野,2084.0,,
1980,青森,1524.0,,
1980,静岡,3447.0,,
1980,香川,1000.0,,
1980,高知,831.0,,
1980,鳥取,604.0,,
1980,鹿児島,1785.0,,
1981,三重,1699.0,,
1981,京都,2539.0,,
1981,佐賀,868.8,,
1981,兵庫,5171.6,,
1981,北海道,5596.6,,
1981,千葉,4817.6,,
1981,和歌山,1087.0,,
1981,埼玉,5508.8,,
1981,大分,1233.2,,
1981,大阪,8512.0,,
1981,奈良,1228.2,,
1981,宮城,2100.8,,
1981,宮崎,1156.8,,
1981,富山,1106.0,,
1981,山口,1590.0,,
1981,山形,1254.0,,
1981,山梨,809.8,,
1981,岐阜,1973.8,,
1981,岡山,1880.2,,
1981,岩手,1424.4,,
1981,島根,787.0,,
1981,広島,2755.0,,
1981,徳島,827.0,,
1981,愛媛,1511.6,,
1981,愛知,6268.6,,
1981,新潟,2456.4,,
1981,東京,11660.2,,
1981,栃木,1806.8,,
1981,沖縄,1121.4,,
1981,滋賀,1095.2,,
1981,熊本,1799.6,,
1981,石川,1125.6,,
1981,神奈川,7025.6,,
1981,福井,798.8,,
1981,福岡,4586.2,,
1981,福島,2044.0,,
1981,秋田,1256.4,,
1981,群馬,1863.4,,
1981,茨城,2591.4,,
1981,長崎,1591.6,,
1981,長野,2094.6,,
1981,青森,1524.0,,
1981,静岡,3472.6,,
1981,香川,1004.6,,
1981,高知,832.8,,
1981,鳥取,606.4,,
1981,鹿児島,1791.8,,
1982,三重,1711.0,,
1982,京都,2551.0,,
1982,佐賀,871.6,,
1982,兵庫,5198.2,,
1982,北海道,5617.2,,
1982,千葉,4900.2,,
1982,和歌山,1087.0,,
1982,埼玉,5597.6,,
1982,大分,1237.4,,
1982,大阪,8551.0,,
1982,奈良,1247.4,,
1982,宮城,2119.6,,
1982,宮崎,1161.6,,
1982,富山,1109.0,,
1982,山口,1593.0,,
1982,山形,1256.0,,
1982,山梨,815.6,,
1982,岐阜,1987.6,,
1982,岡山,1889.4,,
1982,岩手,1426.8,,
1982,島根,789.0,,
1982,広島,2771.0,,
1982,徳島,829.0,,
1982,愛媛,1516.2,,
1982,愛知,6315.2,,
1982,新潟,2461.8,,
1982,東京,11702.4,,
1982,栃木,1821.6,,
1982,沖縄,1135.8,,
1982,滋賀,1110.4,,
1982,熊本,1809.2,,
1982,石川,1132.2,,
1982,神奈川,7127.2,,
1982,福井,803.6,,
1982,福岡,4619.4,,
1982,福島,2053.0,,
1982,秋田,1255.8,,
